Incoming,Outgoing,Node Count,Incoming (MB/s),Outgoing (MB/s),Node Count
1665989.10891089,1209416.83168317,6438,1.6659891089,1.2094168317,6438
1767198.60973188,966626.613704072,6432,1.7671986097,0.9666266137,6432
1658223.89558233,933211.847389558,6430,1.6582238956,0.9332118474,6430
1450378.48605578,759550.796812749,6428,1.4503784861,0.7595507968,6428
1544133.33333333,794940.298507463,6425,1.5441333333,0.7949402985,6425
1585754.98007968,715992.03187251,6424,1.5857549801,0.7159920319,6424
1526474.62686567,847087.562189055,6418,1.5264746269,0.8470875622,6418
1619456.34920635,737804.563492063,6414,1.6194563492,0.7378045635,6414
1314102.79441118,862514.97005988,6413,1.3141027944,0.8625149701,6413
1390661.35458167,735589.641434263,6411,1.3906613546,0.7355896414,6411
1623467.66169154,939338.308457712,6407,1.6234676617,0.9393383085,6407
1343870.8086785,1006870.8086785,6402,1.3438708087,1.0068708087,6402
1176422.31075697,1285706.1752988,6391,1.1764223108,1.2857061753,6391
1365343.62549801,1121853.58565737,6384,1.3653436255,1.1218535857,6384
3049288.84462151,1246307.7689243,6382,3.0492888446,1.2463077689,6382
1621763.20939335,1054926.61448141,6378,1.6217632094,1.0549266145,6378
1661594.6481665,1286732.40832507,6395,1.6615946482,1.2867324083,6395
1889601.38476756,1170195.84569733,6421,1.8896013848,1.1701958457,6421
1827444.8857994,1329485.60079444,6426,1.8274448858,1.3294856008,6426
1787983,1026520,6425,1.787983,1.02652,6425
1779677.1964462,1017995.06416584,6437,1.7796771964,1.0179950642,6437
1909475.81441264,1065929.91115499,6453,1.9094758144,1.0659299112,6453
2081860.37364798,1163573.2546706,6476,2.0818603736,1.1635732547,6476
1752640.92276831,917620.862587763,6486,1.7526409228,0.9176208626,6486
1679749.50298211,947769.383697813,6496,1.679749503,0.9477693837,6496
1619969.45812808,1091463.05418719,6499,1.6199694581,1.0914630542,6499
1540937.62376238,989040.594059406,6495,1.5409376238,0.9890405941,6495
1614264.17004049,1212864.37246964,6503,1.61426417,1.2128643725,6503
1553644,967553,6503,1.553644,0.967553,6503
